cost_id,date,provider,service,team,category,amount,currency
cost-1-0,2026-08-01,aws,demand-forecasting,retail,compute,3.1,USD
cost-1-1,2026-08-01,azure,payment-risk,risk,compute,4.1,USD
cost-1-2,2026-08-01,gcp,predictive-maintenance,operations,compute,5.1,USD
cost-1-3,2026-08-01,onprem,aiops-triage,platform,compute,6.1,USD
shared-1,2026-08-01,onprem,shared-platform,shared,storage,2.000003,USD
untagged-1,2026-08-01,aws,unattributed,unallocated,network,0.50,USD
cost-2-0,2026-08-02,aws,demand-forecasting,retail,compute,3.2,USD
cost-2-1,2026-08-02,azure,payment-risk,risk,compute,4.2,USD
cost-2-2,2026-08-02,gcp,predictive-maintenance,operations,compute,5.2,USD
cost-2-3,2026-08-02,onprem,aiops-triage,platform,compute,6.2,USD
shared-2,2026-08-02,onprem,shared-platform,shared,storage,2.000003,USD
untagged-2,2026-08-02,aws,unattributed,unallocated,network,0.50,USD
cost-3-0,2026-08-03,aws,demand-forecasting,retail,compute,3.3,USD
cost-3-1,2026-08-03,azure,payment-risk,risk,compute,4.3,USD
cost-3-2,2026-08-03,gcp,predictive-maintenance,operations,compute,5.3,USD
cost-3-3,2026-08-03,onprem,aiops-triage,platform,compute,6.3,USD
shared-3,2026-08-03,onprem,shared-platform,shared,storage,2.000003,USD
untagged-3,2026-08-03,aws,unattributed,unallocated,network,0.50,USD
cost-4-0,2026-08-04,aws,demand-forecasting,retail,compute,3.4,USD
cost-4-1,2026-08-04,azure,payment-risk,risk,compute,4.4,USD
cost-4-2,2026-08-04,gcp,predictive-maintenance,operations,compute,5.4,USD
cost-4-3,2026-08-04,onprem,aiops-triage,platform,compute,6.4,USD
shared-4,2026-08-04,onprem,shared-platform,shared,storage,2.000003,USD
untagged-4,2026-08-04,aws,unattributed,unallocated,network,0.50,USD
cost-5-0,2026-08-05,aws,demand-forecasting,retail,compute,3.5,USD
cost-5-1,2026-08-05,azure,payment-risk,risk,compute,4.5,USD
cost-5-2,2026-08-05,gcp,predictive-maintenance,operations,compute,5.5,USD
cost-5-3,2026-08-05,onprem,aiops-triage,platform,compute,6.5,USD
shared-5,2026-08-05,onprem,shared-platform,shared,storage,2.000003,USD
untagged-5,2026-08-05,aws,unattributed,unallocated,network,0.50,USD
cost-6-0,2026-08-06,aws,demand-forecasting,retail,compute,3.6,USD
cost-6-1,2026-08-06,azure,payment-risk,risk,compute,4.6,USD
cost-6-2,2026-08-06,gcp,predictive-maintenance,operations,compute,5.6,USD
cost-6-3,2026-08-06,onprem,aiops-triage,platform,compute,6.6,USD
shared-6,2026-08-06,onprem,shared-platform,shared,storage,2.000003,USD
untagged-6,2026-08-06,aws,unattributed,unallocated,network,0.50,USD
cost-7-0,2026-08-07,aws,demand-forecasting,retail,compute,3.7,USD
cost-7-1,2026-08-07,azure,payment-risk,risk,compute,4.7,USD
cost-7-2,2026-08-07,gcp,predictive-maintenance,operations,compute,5.7,USD
cost-7-3,2026-08-07,onprem,aiops-triage,platform,compute,6.7,USD
shared-7,2026-08-07,onprem,shared-platform,shared,storage,2.000003,USD
untagged-7,2026-08-07,aws,unattributed,unallocated,network,0.50,USD
cost-8-0,2026-08-08,aws,demand-forecasting,retail,compute,3.8,USD
cost-8-1,2026-08-08,azure,payment-risk,risk,compute,4.8,USD
cost-8-2,2026-08-08,gcp,predictive-maintenance,operations,compute,5.8,USD
cost-8-3,2026-08-08,onprem,aiops-triage,platform,compute,6.8,USD
shared-8,2026-08-08,onprem,shared-platform,shared,storage,2.000003,USD
untagged-8,2026-08-08,aws,unattributed,unallocated,network,0.50,USD
cost-9-0,2026-08-09,aws,demand-forecasting,retail,compute,3.9,USD
cost-9-1,2026-08-09,azure,payment-risk,risk,compute,4.9,USD
cost-9-2,2026-08-09,gcp,predictive-maintenance,operations,compute,5.9,USD
cost-9-3,2026-08-09,onprem,aiops-triage,platform,compute,6.9,USD
shared-9,2026-08-09,onprem,shared-platform,shared,storage,2.000003,USD
untagged-9,2026-08-09,aws,unattributed,unallocated,network,0.50,USD
cost-10-0,2026-08-10,aws,demand-forecasting,retail,compute,4,USD
cost-10-1,2026-08-10,azure,payment-risk,risk,compute,5,USD
cost-10-2,2026-08-10,gcp,predictive-maintenance,operations,compute,6,USD
cost-10-3,2026-08-10,onprem,aiops-triage,platform,compute,7,USD
shared-10,2026-08-10,onprem,shared-platform,shared,storage,2.000003,USD
untagged-10,2026-08-10,aws,unattributed,unallocated,network,0.50,USD
cost-11-0,2026-08-11,aws,demand-forecasting,retail,compute,4.1,USD
cost-11-1,2026-08-11,azure,payment-risk,risk,compute,5.1,USD
cost-11-2,2026-08-11,gcp,predictive-maintenance,operations,compute,6.1,USD
cost-11-3,2026-08-11,onprem,aiops-triage,platform,compute,7.1,USD
shared-11,2026-08-11,onprem,shared-platform,shared,storage,2.000003,USD
untagged-11,2026-08-11,aws,unattributed,unallocated,network,0.50,USD
cost-12-0,2026-08-12,aws,demand-forecasting,retail,compute,4.2,USD
cost-12-1,2026-08-12,azure,payment-risk,risk,compute,5.2,USD
cost-12-2,2026-08-12,gcp,predictive-maintenance,operations,compute,6.2,USD
cost-12-3,2026-08-12,onprem,aiops-triage,platform,compute,7.2,USD
shared-12,2026-08-12,onprem,shared-platform,shared,storage,2.000003,USD
untagged-12,2026-08-12,aws,unattributed,unallocated,network,0.50,USD
cost-13-0,2026-08-13,aws,demand-forecasting,retail,compute,4.3,USD
cost-13-1,2026-08-13,azure,payment-risk,risk,compute,5.3,USD
cost-13-2,2026-08-13,gcp,predictive-maintenance,operations,compute,6.3,USD
cost-13-3,2026-08-13,onprem,aiops-triage,platform,compute,7.3,USD
shared-13,2026-08-13,onprem,shared-platform,shared,storage,2.000003,USD
untagged-13,2026-08-13,aws,unattributed,unallocated,network,0.50,USD
cost-14-0,2026-08-14,aws,demand-forecasting,retail,compute,4.4,USD
cost-14-1,2026-08-14,azure,payment-risk,risk,compute,5.4,USD
cost-14-2,2026-08-14,gcp,predictive-maintenance,operations,compute,6.4,USD
cost-14-3,2026-08-14,onprem,aiops-triage,platform,compute,7.4,USD
shared-14,2026-08-14,onprem,shared-platform,shared,storage,2.000003,USD
untagged-14,2026-08-14,aws,unattributed,unallocated,network,0.50,USD
credit-1,2026-08-14,aws,demand-forecasting,retail,credit,-3.25,USD
