date,sku,units
2026-08-01,COFFEE,10
2026-08-01,OATS,15
2026-08-01,SOAP,20
2026-08-02,COFFEE,12
2026-08-02,OATS,17
2026-08-02,SOAP,22
2026-08-03,COFFEE,14
2026-08-03,OATS,19
2026-08-03,SOAP,24
2026-08-04,COFFEE,16
2026-08-04,OATS,21
2026-08-04,SOAP,26
2026-08-05,COFFEE,18
2026-08-05,OATS,23
2026-08-05,SOAP,28
2026-08-06,COFFEE,20
2026-08-06,OATS,25
2026-08-06,SOAP,30
2026-08-07,COFFEE,22
2026-08-07,OATS,27
2026-08-07,SOAP,32
2026-08-08,COFFEE,11
2026-08-08,OATS,16
2026-08-08,SOAP,21
2026-08-09,COFFEE,13
2026-08-09,OATS,18
2026-08-09,SOAP,23
2026-08-10,COFFEE,15
2026-08-10,OATS,20
2026-08-10,SOAP,25
2026-08-11,COFFEE,17
2026-08-11,OATS,22
2026-08-11,SOAP,27
2026-08-12,COFFEE,19
2026-08-12,OATS,24
2026-08-12,SOAP,29
2026-08-13,COFFEE,21
2026-08-13,OATS,26
2026-08-13,SOAP,31
2026-08-14,COFFEE,23
2026-08-14,OATS,28
2026-08-14,SOAP,33
2026-08-15,COFFEE,12
2026-08-15,OATS,17
2026-08-15,SOAP,22
2026-08-16,COFFEE,14
2026-08-16,OATS,19
2026-08-16,SOAP,24
2026-08-17,COFFEE,16
2026-08-17,OATS,21
2026-08-17,SOAP,26
2026-08-18,COFFEE,18
2026-08-18,OATS,23
2026-08-18,SOAP,28
2026-08-19,COFFEE,20
2026-08-19,OATS,25
2026-08-19,SOAP,30
2026-08-20,COFFEE,22
2026-08-20,OATS,27
2026-08-20,SOAP,32
2026-08-21,COFFEE,24
2026-08-21,OATS,29
2026-08-21,SOAP,34
2026-08-22,COFFEE,13
2026-08-22,OATS,18
2026-08-22,SOAP,23
2026-08-23,COFFEE,15
2026-08-23,OATS,20
2026-08-23,SOAP,25
2026-08-24,COFFEE,17
2026-08-24,OATS,22
2026-08-24,SOAP,27
2026-08-25,COFFEE,19
2026-08-25,OATS,24
2026-08-25,SOAP,29
2026-08-26,COFFEE,21
2026-08-26,OATS,26
2026-08-26,SOAP,31
2026-08-27,COFFEE,23
2026-08-27,OATS,28
2026-08-27,SOAP,33
2026-08-28,COFFEE,25
2026-08-28,OATS,30
2026-08-28,SOAP,35
2026-08-29,COFFEE,14
2026-08-29,OATS,19
2026-08-29,SOAP,24
2026-08-30,COFFEE,16
2026-08-30,OATS,21
2026-08-30,SOAP,26
2026-08-31,COFFEE,18
2026-08-31,OATS,23
2026-08-31,SOAP,28
2026-09-01,COFFEE,20
2026-09-01,OATS,25
2026-09-01,SOAP,30
2026-09-02,COFFEE,22
2026-09-02,OATS,27
2026-09-02,SOAP,32
2026-09-03,COFFEE,24
2026-09-03,OATS,29
2026-09-03,SOAP,34
2026-09-04,COFFEE,26
2026-09-04,OATS,31
2026-09-04,SOAP,36
